Income Level,Country,Indicator,,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
Upper middle income,Azerbaijan,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Belarus,2-5.,Inflation,,,"0,04","0,04","0,03","0,03","0,04","0,05","0,05"
Upper middle income,Belarus,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Belarus,5-30.,Inflation,"0,06","0,05",,,,,,,
Upper middle income,Belarus,5-30.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,
Upper middle income,Belize,< 2.,Inflation,"0,01","0,01","0,01","0,00","0,00","0,00","-0,01","0,01",
Upper middle income,Belize,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Upper middle income,Belize,No Value,Inflation,,,,,,,,,
Upper middle income,Belize,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Bosnia and Herzegovina,< 2.,Inflation,"0,01","0,01","0,02","0,02","0,01","0,01","0,01","0,00",
Upper middle income,Bosnia and Herzegovina,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Upper middle income,Bosnia and Herzegovina,No Value,Inflation,,,,,,,,,
Upper middle income,Bosnia and Herzegovina,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Botswana,2-5.,Inflation,"0,03","0,03","0,03","0,03","0,04","0,03","0,03","0,03","0,04"
Upper middle income,Botswana,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Brazil,2-5.,Inflation,"0,03","0,03",,,,"0,05",,,
Upper middle income,Brazil,2-5.,Min. Nombre d'enregistrements,"1,00","1,00",,,,"1,00",,,
Upper middle income,Brazil,5-30.,Inflation,,,"0,06","0,06","0,05",,"0,06","0,07","0,08"
Upper middle income,Brazil,5-30.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00",,"1,00","1,00","1,00"
Upper middle income,Bulgaria,2-5.,Inflation,"0,05",,,,,,,,
Upper middle income,Bulgaria,2-5.,Min. Nombre d'enregistrements,"1,00",,,,,,,,
Upper middle income,Bulgaria,5-30.,Inflation,,"0,06","0,07","0,08","0,07","0,07","0,07","0,06",
Upper middle income,Bulgaria,5-30.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Upper middle income,Bulgaria,No Value,Inflation,,,,,,,,,
Upper middle income,Bulgaria,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,China,5-30.,Inflation,"0,16","0,19","0,17","0,21","0,22","0,18","0,15","0,11","0,11"
Upper middle income,China,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Colombia,5-30.,Inflation,"0,07","0,06","0,06","0,05","0,06","0,07","0,08","0,08","0,07"
Upper middle income,Colombia,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Costa Rica,< 2.,Inflation,"0,02","0,02","0,00","0,00","0,01","0,02","0,01","0,00","-0,01"
Upper middle income,Costa Rica,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Dominican Republic,2-5.,Inflation,,,,,,,"0,05","0,03","0,05"
Upper middle income,Dominican Republic,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
Upper middle income,Dominican Republic,5-30.,Inflation,"0,08","0,08","0,07","0,08","0,07","0,06",,,
Upper middle income,Dominican Republic,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Upper middle income,Ecuador,2-5.,Inflation,,,,,,,"0,05","0,03","0,03"
Upper middle income,Ecuador,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
Upper middle income,Ecuador,< 2.,Inflation,"0,01","0,00","-0,01","-0,01","-0,01","0,00",,,
Upper middle income,Ecuador,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Upper middle income,Equatorial Guinea,2-5.,Inflation,,,,"0,04","0,03","0,04",,,
Upper middle income,Equatorial Guinea,2-5.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00",,,
Upper middle income,Equatorial Guinea,No Value,Inflation,,,,,,,,,
Upper middle income,Equatorial Guinea,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,"1,00","1,00","1,00"
Upper middle income,Fiji,2-5.,Inflation,,"0,03","0,03",,,,,,
Upper middle income,Fiji,2-5.,Min. Nombre d'enregistrements,,"1,00","1,00",,,,,,
Upper middle income,Fiji,< 2.,Inflation,"0,01",,,"-0,01","-0,06","-0,06","-0,01","-0,01","-0,06"
Upper middle income,Fiji,< 2.,Min. Nombre d'enregistrements,"1,00",,,"1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Gabon,< 2.,Inflation,,,,"0,02",,,,,
Upper middle income,Gabon,< 2.,Min. Nombre d'enregistrements,,,,"1,00",,,,,
Upper middle income,Gabon,No Value,Inflation,,,,,,,,,
Upper middle income,Gabon,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00","1,00","1,00","1,00","1,00"
Upper middle income,Georgia,5-30.,Inflation,"0,14","0,13","0,12","0,11","0,13","0,13","0,16","0,15","0,14"
Upper middle income,Georgia,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Guatemala,2-5.,Inflation,"0,04",,,,,"0,02","0,04","0,05",
Upper middle income,Guatemala,2-5.,Min. Nombre d'enregistrements,"1,00",,,,,"1,00","1,00","1,00",
Upper middle income,Guatemala,5-30.,Inflation,,"0,05","0,06",,,,,,"0,06"
Upper middle income,Guatemala,5-30.,Min. Nombre d'enregistrements,,"1,00","1,00",,,,,,"1,00"
Upper middle income,Guatemala,< 2.,Inflation,,,,"0,01","0,01",,,,
Upper middle income,Guatemala,< 2.,Min. Nombre d'enregistrements,,,,"1,00","1,00",,,,
Upper middle income,Guyana,2-5.,Inflation,,,,"0,05","0,04",,,,
Upper middle income,Guyana,2-5.,Min. Nombre d'enregistrements,,,,"1,00","1,00",,,,
Upper middle income,Guyana,5-30.,Inflation,"0,07","0,06","0,06",,,,,,
Upper middle income,Guyana,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
Upper middle income,Guyana,No Value,Inflation,,,,,,,,,
Upper middle income,Guyana,No Value,Min. Nombre d'enregistrements,,,,,,"1,00","1,00","1,00","1,00"
Upper middle income,Indonesia,2-5.,Inflation,"0,05","0,05","0,04","0,04",,,,"0,03","0,03"
Upper middle income,Indonesia,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,,,"1,00","1,00"
Upper middle income,Indonesia,5-30.,Inflation,,,,,"0,06","0,06","0,05",,
Upper middle income,Indonesia,5-30.,Min. Nombre d'enregistrements,,,,,"1,00","1,00","1,00",,
Upper middle income,"Iran, Islamic Republic of",5-30.,Inflation,,"0,30","0,29","0,24","0,20","0,15","0,11","0,12","0,15"
Upper middle income,"Iran, Islamic Republic of",5-30.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,"Iran, Islamic Republic of",>30,Inflation,"0,34",,,,,,,,
Upper middle income,"Iran, Islamic Republic of",>30,Min. Nombre d'enregistrements,"1,00",,,,,,,,
Upper middle income,Iraq,< 2.,Inflation,"-0,02","-0,02","-0,03","-0,03",,,,,
Upper middle income,Iraq,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,,,,
Upper middle income,Iraq,No Value,Inflation,,,,,,,,,
Upper middle income,Iraq,No Value,Min. Nombre d'enregistrements,,,,,"1,00","1,00","1,00","1,00","1,00"
Upper middle income,Jamaica,5-30.,Inflation,"0,06","0,09","0,11","0,10","0,08","0,07",,,
Upper middle income,Jamaica,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Upper middle income,Jamaica,No Value,Inflation,,,,,,,,,
Upper middle income,Jamaica,No Value,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
Upper middle income,Jordan,2-5.,Inflation,,,,,"0,03",,"0,05","0,04","0,02"
Upper middle income,Jordan,2-5.,Min. Nombre d'enregistrements,,,,,"1,00",,"1,00","1,00","1,00"
Upper middle income,Jordan,5-30.,Inflation,,,,,,"0,05",,,
Upper middle income,Jordan,5-30.,Min. Nombre d'enregistrements,,,,,,"1,00",,,
Upper middle income,Jordan,< 2.,Inflation,"-0,01","-0,02","0,00","0,02",,,,,
Upper middle income,Jordan,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,,,,
Upper middle income,Kazakhstan,5-30.,Inflation,"0,10","0,10","0,10","0,09","0,09","0,09","0,10","0,11","0,11"
Upper middle income,Kazakhstan,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,"Kosovo, Republic of",2-5.,Inflation,"0,04","0,03","0,02",,,,"0,02","0,03","0,02"
Upper middle income,"Kosovo, Republic of",2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,"1,00","1,00","1,00"
Upper middle income,"Kosovo, Republic of",< 2.,Inflation,,,,"0,02","0,01","0,02",,,
Upper middle income,"Kosovo, Republic of",< 2.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00",,,
Upper middle income,Malaysia,5-30.,Inflation,,,,,,,,"0,14","0,13"
Upper middle income,Malaysia,5-30.,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Upper middle income,Malaysia,< 2.,Inflation,"0,02","0,02","0,02","0,01","0,01","0,01","0,01",,
Upper middle income,Malaysia,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Upper middle income,Maldives,2-5.,Inflation,,,"0,03","0,04","0,04","0,04","0,04",,
Upper middle income,Maldives,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00","1,00","1,00",,
Upper middle income,Maldives,< 2.,Inflation,"0,02","0,02",,,,,,"0,01",
Upper middle income,Maldives,< 2.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,"1,00",
Upper middle income,Maldives,No Value,Inflation,,,,,,,,,
Upper middle income,Maldives,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Mexico,2-5.,Inflation,"0,04","0,04","0,03","0,03",,,,,"0,03"
Upper middle income,Mexico,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,,,,"1,00"
Upper middle income,Mexico,5-30.,Inflation,,,,,"0,06","0,07","0,07","0,07",
Upper middle income,Mexico,5-30.,Min. Nombre d'enregistrements,,,,,"1,00","1,00","1,00","1,00",
Upper middle income,Montenegro,2-5.,Inflation,"0,03","0,03","0,03","0,03","0,02",,,"0,05",
Upper middle income,Montenegro,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,"1,00",
Upper middle income,Montenegro,< 2.,Inflation,,,,,,"0,02","0,01",,
Upper middle income,Montenegro,< 2.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00",,
Upper middle income,Montenegro,No Value,Inflation,,,,,,,,,
Upper middle income,Montenegro,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Namibia,2-5.,Inflation,"0,04","0,03",,"0,02","0,03","0,03","0,04","0,03",
Upper middle income,Namibia,2-5.,Min. Nombre d'enregistrements,"1,00","1,00",,"1,00","1,00","1,00","1,00","1,00",
Upper middle income,Namibia,< 2.,Inflation,,,"0,02",,,,,,
Upper middle income,Namibia,< 2.,Min. Nombre d'enregistrements,,,"1,00",,,,,,
Upper middle income,Namibia,No Value,Inflation,,,,,,,,,
Upper middle income,Namibia,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,"North Macedonia, Republic of",5-30.,Inflation,,,,,,,,"0,15","0,15"
Upper middle income,"North Macedonia, Republic of",5-30.,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Upper middle income,"North Macedonia, Republic of",< 2.,Inflation,"0,01","0,01","0,01","0,00","0,00","0,01","0,01",,
Upper middle income,"North Macedonia, Republic of",< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Upper middle income,Paraguay,2-5.,Inflation,,,"0,04","0,02",,"0,02",,,
Upper middle income,Paraguay,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00",,"1,00",,,
Upper middle income,Paraguay,< 2.,Inflation,"0,02","0,01",,,"0,01",,"0,02","-0,01","-0,02"
Upper middle income,Paraguay,< 2.,Min. Nombre d'enregistrements,"1,00","1,00",,,"1,00",,"1,00","1,00","1,00"
Upper middle income,Peru,2-5.,Inflation,,,,,,"0,02",,"0,02",
Upper middle income,Peru,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00",,"1,00",
Upper middle income,Peru,< 2.,Inflation,"0,01","0,01","0,01","0,01","0,01",,"0,02",,"0,02"
Upper middle income,Peru,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,"1,00",,"1,00"
Upper middle income,Russian Federation,2-5.,Inflation,"0,05","0,04","0,03","0,02",,"0,02","0,04",,"0,04"
Upper middle income,Russian Federation,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,"1,00","1,00",,"1,00"
Upper middle income,Russian Federation,< 2.,Inflation,,,,,"0,02",,,,
Upper middle income,Russian Federation,< 2.,Min. Nombre d'enregistrements,,,,,"1,00",,,,
Upper middle income,Russian Federation,No Value,Inflation,,,,,,,,,
Upper middle income,Russian Federation,No Value,Min. Nombre d'enregistrements,,,,,,,,"1,00",
Upper middle income,Samoa,2-5.,Inflation,,,,,,,"0,03",,
Upper middle income,Samoa,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00",,
Upper middle income,Samoa,5-30.,Inflation,,,,"0,06","0,06","0,05",,,
Upper middle income,Samoa,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00",,,
Upper middle income,Samoa,No Value,Inflation,,,,,,,,,
Upper middle income,Samoa,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,"1,00","1,00"
Upper middle income,Serbia,2-5.,Inflation,,"0,02","0,02","0,02",,,,"0,02","0,04"
Upper middle income,Serbia,2-5.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00",,,,"1,00","1,00"
Upper middle income,Serbia,< 2.,Inflation,"0,01",,,,"0,02","0,00","0,00",,
Upper middle income,Serbia,< 2.,Min. Nombre d'enregistrements,"1,00",,,,"1,00","1,00","1,00",,
Upper middle income,South Africa,2-5.,Inflation,"0,04","0,04","0,04","0,04","0,04","0,04","0,05","0,04",
Upper middle income,South Africa,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Upper middle income,South Africa,No Value,Inflation,,,,,,,,,
Upper middle income,South Africa,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Suriname,2-5.,Inflation,,,"0,05",,,,,,
Upper middle income,Suriname,2-5.,Min. Nombre d'enregistrements,,,"1,00",,,,,,
Upper middle income,Suriname,5-30.,Inflation,"0,05","0,05",,"0,05","0,08","0,22",,,
Upper middle income,Suriname,5-30.,Min. Nombre d'enregistrements,"1,00","1,00",,"1,00","1,00","1,00",,,
Upper middle income,Suriname,>30,Inflation,,,,,,,"0,36","0,44",
Upper middle income,Suriname,>30,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00",
Upper middle income,Suriname,No Value,Inflation,,,,,,,,,
Upper middle income,Suriname,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Thailand,2-5.,Inflation,"0,02",,,,"0,02",,,,
Upper middle income,Thailand,2-5.,Min. Nombre d'enregistrements,"1,00",,,,"1,00",,,,
Upper middle income,Thailand,< 2.,Inflation,,"0,02","0,02","0,02",,"0,02","0,01","0,00","0,01"
Upper middle income,Thailand,< 2.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00",,"1,00","1,00","1,00","1,00"
Upper middle income,Turkey,5-30.,Inflation,,,,"0,09","0,11","0,10","0,11","0,13","0,13"
Upper middle income,Turkey,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Turkey,>30,Inflation,"7,85","8,89","10,89",,,,,,
Upper middle income,Turkey,>30,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
High income,Aruba,2-5.,Inflation,,,,,,,"0,04",,
High income,Aruba,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00",,
High income,Aruba,5-30.,Inflation,"0,12","0,12","0,11","0,11","0,11","0,05",,,
High income,Aruba,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Aruba,< 2.,Inflation,,,,,,,,"0,01",
High income,Aruba,< 2.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
High income,Aruba,No Value,Inflation,,,,,,,,,
High income,Aruba,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Australia,2-5.,Inflation,,,,"0,03","0,03","0,03",,,
High income,Australia,2-5.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00",,,
High income,Australia,No Value,Inflation,,,,,,,,,
High income,Australia,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,"1,00","1,00","1,00"
High income,Austria,2-5.,Inflation,,,,,,,"0,03",,"0,03"
High income,Austria,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00",,"1,00"
High income,Austria,< 2.,Inflation,"0,01","0,01","0,01","0,01","0,02","0,02",,"0,01",
High income,Austria,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,"1,00",
High income,Bahrain,2-5.,Inflation,"0,04","0,03","0,03",,"0,02","0,04","0,04",,
High income,Bahrain,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00","1,00","1,00",,
High income,Bahrain,5-30.,Inflation,,,,,,,,"0,05",
High income,Bahrain,5-30.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
High income,Bahrain,< 2.,Inflation,,,,"0,00",,,,,
High income,Bahrain,< 2.,Min. Nombre d'enregistrements,,,,"1,00",,,,,
High income,Bahrain,No Value,Inflation,,,,,,,,,
High income,Bahrain,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Barbados,5-30.,Inflation,"0,12","0,12","0,12","0,12",,,,,
High income,Barbados,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,,,,
High income,Barbados,No Value,Inflation,,,,,,,,,
High income,Barbados,No Value,Min. Nombre d'enregistrements,,,,,"1,00","1,00","1,00","1,00","1,00"
High income,Belgium,2-5.,Inflation,,,,,,"0,02","0,04","0,04","0,03"
High income,Belgium,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00","1,00","1,00"
High income,Belgium,< 2.,Inflation,"0,00","0,00","0,00","0,01","0,02",,,,
High income,Belgium,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,,
High income,Bermuda,2-5.,Inflation,"0,02","0,03","0,03","0,02","0,03","0,02",,,
High income,Bermuda,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Bermuda,No Value,Inflation,,,,,,,,,
High income,Bermuda,No Value,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
High income,Brunei Darussalam,2-5.,Inflation,,,,,,,"0,03","0,04",
High income,Brunei Darussalam,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00",
High income,Brunei Darussalam,< 2.,Inflation,"-0,01","-0,01","0,00","0,00","0,01","0,01",,,
High income,Brunei Darussalam,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Brunei Darussalam,No Value,Inflation,,,,,,,,,
High income,Brunei Darussalam,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Canada,2-5.,Inflation,"0,04","0,03","0,03","0,04","0,02","0,02","0,04","0,03",
High income,Canada,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
High income,Canada,No Value,Inflation,,,,,,,,,
High income,Canada,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Cayman Islands,2-5.,Inflation,,,,"0,03",,"0,04",,,
High income,Cayman Islands,2-5.,Min. Nombre d'enregistrements,,,,"1,00",,"1,00",,,
High income,Cayman Islands,No Value,Inflation,,,,,,,,,
High income,Cayman Islands,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00",,"1,00","1,00","1,00"
High income,Chile,2-5.,Inflation,"0,03","0,04","0,04",,,,,,
High income,Chile,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
High income,Chile,5-30.,Inflation,,,,"0,05","0,06","0,06","0,07","0,07","0,06"
High income,Chile,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00","1,00","1,00"
High income,Croatia,2-5.,Inflation,,,"0,02","0,03","0,03","0,03","0,04","0,03",
High income,Croatia,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00","1,00","1,00","1,00",
High income,Croatia,< 2.,Inflation,"0,00","0,00",,,,,,,
High income,Croatia,< 2.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,
High income,Croatia,No Value,Inflation,,,,,,,,,
High income,Croatia,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Cyprus,2-5.,Inflation,,,,,,,,"0,04",
High income,Cyprus,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
High income,Cyprus,< 2.,Inflation,"-0,03","-0,01","0,02","0,01","0,02","0,00","-0,01",,"0,01"
High income,Cyprus,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,"1,00"
High income,Czech Republic,2-5.,Inflation,"0,03",,"0,05",,,,,,
High income,Czech Republic,2-5.,Min. Nombre d'enregistrements,"1,00",,"1,00",,,,,,
High income,Czech Republic,5-30.,Inflation,,"0,05",,"0,06","0,05","0,06","0,08","0,06","0,05"
High income,Czech Republic,5-30.,Min. Nombre d'enregistrements,,"1,00",,"1,00","1,00","1,00","1,00","1,00","1,00"
High income,Denmark,< 2.,Inflation,"0,01","0,01","0,01","0,00","0,00","0,01","0,02","0,01","0,01"
High income,Denmark,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Estonia,2-5.,Inflation,"0,02","0,03","0,03","0,03","0,04","0,02","0,03","0,03","0,03"
High income,Estonia,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Faroe Islands,2-5.,Inflation,,,,"0,03",,"0,03",,,
High income,Faroe Islands,2-5.,Min. Nombre d'enregistrements,,,,"1,00",,"1,00",,,
High income,Faroe Islands,< 2.,Inflation,,,,,,,,,"0,02"
High income,Faroe Islands,< 2.,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Faroe Islands,No Value,Inflation,,,,,,,,,
High income,Faroe Islands,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00",,"1,00","1,00",
High income,Finland,2-5.,Inflation,,,,,,,,"0,02","0,02"
High income,Finland,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
High income,Finland,< 2.,Inflation,"0,00","0,01","0,02","0,02","0,01","0,02","0,01",,
High income,Finland,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
High income,France,2-5.,Inflation,,"0,02","0,02",,,"0,02","0,04","0,03","0,02"
High income,France,2-5.,Min. Nombre d'enregistrements,,"1,00","1,00",,,"1,00","1,00","1,00","1,00"
High income,France,< 2.,Inflation,"0,02",,,"0,02","0,02",,,,
High income,France,< 2.,Min. Nombre d'enregistrements,"1,00",,,"1,00","1,00",,,,
High income,Germany,2-5.,Inflation,,,,"0,02","0,03","0,04","0,05","0,04","0,04"
High income,Germany,2-5.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00","1,00","1,00"
High income,Germany,< 2.,Inflation,"0,01","0,02","0,02",,,,,,
High income,Germany,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
High income,Greece,2-5.,Inflation,,,,,,,,,"0,04"
High income,Greece,2-5.,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Greece,< 2.,Inflation,"-0,02","-0,01","0,00","0,00","0,00","0,00","0,01","0,02",
High income,Greece,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
High income,Hong Kong,2-5.,Inflation,,,,,,,,"0,05",
High income,Hong Kong,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
High income,Hong Kong,5-30.,Inflation,"0,06","0,06","0,06","0,17","0,15","0,13","0,06",,
High income,Hong Kong,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
High income,Hong Kong,No Value,Inflation,,,,,,,,,
High income,Hong Kong,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Hungary,5-30.,Inflation,"0,05","0,05","0,06","0,07","0,07","0,08","0,09","0,09","0,08"
High income,Hungary,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Iceland,2-5.,Inflation,"0,02","0,03",,,,"0,02","0,04",,
High income,Iceland,2-5.,Min. Nombre d'enregistrements,"1,00","1,00",,,,"1,00","1,00",,
High income,Iceland,5-30.,Inflation,,,,,,,,"0,09","0,06"
High income,Iceland,5-30.,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
High income,Iceland,< 2.,Inflation,,,"0,01","0,01","0,02",,,,
High income,Iceland,< 2.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00",,,,
High income,Ireland,< 2.,Inflation,"-0,01","-0,01","-0,01","-0,01","-0,01","-0,02","-0,01","-0,01","-0,02"
High income,Ireland,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Israel,< 2.,Inflation,"0,01","0,01","0,00","-0,01","-0,01","0,00","0,02","0,00","0,00"
High income,Israel,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Italy,2-5.,Inflation,,,,,,,"0,03","0,03","0,03"
High income,Italy,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
High income,Italy,< 2.,Inflation,"0,01","0,01","0,01","0,01","0,00","0,01",,,
High income,Italy,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Japan,2-5.,Inflation,,,,,,,"0,02","0,02",
High income,Japan,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00",
High income,Japan,< 2.,Inflation,"0,01","0,02","0,02","0,01","0,01","0,01",,,
