"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning","Fr_Countryname.x","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country.of.origin..ISO.","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm","NH_GDAC_Date","NH_GDAC_Hazard_Status","NH_GDAC_Hazard_Severity","NH_GDAC_Hazard_Type","NH_GDAC_Hazard_Score_Norm","NH_GDAC_Hazard_Score","NH_Hazard_Score","NH_Hazard_Score_norm","NH_seasonal_risk_norm","NH_locust_norm","NH_natural_acaps","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_Change.in.unemployement.rate.2019.to.2020","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"76","Cyprus","CYP",43,5.4,0.669343114149826,7.11769811222346,7.70681952463383,-35.6128331931753,0.513787968308922,0,67.033,1.631,2.68132,3.262,20210614,NA,70.62,NA,100,NA,66.43,NA,NA,1.44307692307692,0,3.3,NA,"151.2","High","80","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-5.1 %","High","7.5 %","Medium","0.5 %","Low","Fully open","Low","NO DATA",NA,"-33.33%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0,"Low",0,"Low",0.5,"Low","NO DATA",NA,"NO CRISIS","Low",3.25,0,0,0.247,2.12918660287081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.04,0.01,-0.01,0.01,0.02,NA,NA,0.01,1,NA,"Cyprus","Cyprus",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apr 2021",0,0,0,0,-0.427277181082356,0.256143544549047,0.10944429166736,0,33,44.6666666666667,42.5454545454545,-11.6666666666667,-9.54545454545454,2.75409836065574,0,4.11703174993847,NA,NA,NA,NA,NA,NA,4.3,5.5,0,0,0,0.6,0.857142857142856,"-5.1 %","High","7.5 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,11.05,8.35,7.075,8.003,7,6.447,5.891,5.331,5.143,"0.928",-1.003,0.928,0,3.09333333333333,3.09333333333333,NA,NA,NA,NA,0,0.3
"77","Djibouti","DJI",23.2,9.36,0.347862383363396,2.31587930872171,-100,-57.5773859879966,0,0,1.446,0,0.0578400000000006,0,20210614,NA,44.37,NA,12.5,NA,48.93,NA,NA,5.48153846153846,8.75,5.5,NA,"9.5","Low","80","Medium","Screening","Medium","No measures","High","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","0","High","5.0 %","Low","NO DATA",NA,"2.4 %","Low","Academic break","Low","194,197","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0,"Low",0,"Low",4.1,"Medium","No hotspot","Low","Medium","Medium",8.75,0,0,0.503,8.25358851674641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.04,0.06,0.12,NA,NA,NA,NA,0.06,5,NA,"Djibouti","Djibouti",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"DJI",2351,1.28112525334595,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,0,0,-0.7242557999866,0.595958727366097,0.431626564847529,0,47.3333333333333,47.3333333333333,49.8484848484849,0,-2.51515151515152,5.57377049180328,5.63820422535212,5.5999261629338,NA,NA,NA,NA,NA,NA,5.4,7.33333333333333,0,5,0,5.7,8.14285714285714,"5.0 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,2.833476810841,2.833476810841,0,2.58686692156134,-0.9333046378318,-1.1873479605805,0.776060076468401,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,1.18832397460938,1.69760567801339,0,0.3
"78","Ecuador","ECU",50.1,3.98,0.668615225662745,7.10682595632296,-34.7880437034684,-8.42553479352384,0,0,53.287,1.935,2.13148,3.87,20210614,NA,73.54,NA,75,NA,73.33,NA,NA,0.993846153846153,2.5,3.9,NA,"86.0","Medium","80","Medium","Total border closure","Low","Require closing (or prohibit most people from using it)","Low","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-7.5 %","High","5.3 %","Medium","-0.3 %","Medium","Closed due to COVID-19","High","NO DATA",NA,"120.00%","High","Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.8,"Low",0,"Low",2.4,"Medium","No hotspot","Low","High","High",4.75,0,0,0.373,5.14354066985646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.03,0.03,0.01,0,NA,NA,NA,0.03,3,NA,"Ecuador","Ecuador",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"ECU",1652,1.47770974926607,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,0,0,-1.67754241549777,0.823777887179634,1.38192234669297,0,50.6666666666667,47.6666666666667,50.030303030303,3,0.636363636363633,6.22950819672131,10,5.63684469603741,NA,NA,NA,NA,NA,NA,6.9,9.83333333333333,7,0,0,3.4,4.85714285714286,"-7.5 %","High","5.3 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",10,7,0,10,5.1,1.6,10,-0.48,-0.68,3.43185642367336,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4.62,3.69,3.84,8.074,5.643,5.514,5.19,4.719,4.125,"4.234",-2.431,4.234,0,10,10,0,0,3.79841613769531,5.42630876813616,0,0.3
"79","Equatorial Guinea","GNQ",16.2,10,NA,NA,-64.0941709681481,-84.3942417552875,0,0,2.444,0.204,0.097760000000001,0.407999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,"59.5","Medium","-999","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"4.0 %","Low","NO DATA",NA,"4.8 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,0,"Low",0,"Low",0,"Low","No hotspot","Low","NO CRISIS","Low",9.75,0,0,0.384,5.4066985645933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.08,0.09,NA,NA,NA,NA,NA,0.09,5,NA,"Equatorial Guinea","Equatorial Guinea",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"GNQ",156,0.775242974459673,"Not Fragile",0,0,"Not Fragile",7.75242974459673,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6666666666667,64,64.0909090909091,-2.33333333333334,-2.42424242424243,8.39344262295082,5.77024647887324,8.49187792271721,NA,NA,NA,NA,NA,NA,2.9,3.16666666666667,0,0,0,4.3,6.14285714285714,"4.0 %","Low","NO DATA",NA,"NO DATA",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4
"80","Fiji","FJI",25.7,8.86,0.101932237818838,0,0.01,0.01,0.000666666666667481,0.000666666666667481,68.684,0,2.74736,0,20210614,NA,68.07,75,75,NA,67.08,1,1,1.83538461538462,2.5,4.1,NA,"25.3","Medium","-999","High","Ban on high-risk regions","Medium","No measures","High","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","5.0 %","Low","13.4 %","Medium","-2.6 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.1,"Low",0.1,"Low",2,"Low","NO DATA",NA,"NO CRISIS","Low",5.25,0,0,0.363,4.90430622009569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,-0.06,0.01,-0.03,-0.02,-0.02,NA,-0.06,1,NA,"Fiji","Fiji",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"FJI",591,-1.3858298566824,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,4.83333333333333,10,0,0,3.2,4.57142857142857,"5.0 %","Low","13.4 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4.5,4.5,4.5,13.351,6.304,4.515,3.877,4.003,4.369,"8.851",-7.047,8.851,0,10,10,NA,NA,NA,NA,0,0.4
"81","Greece","GRC",53.8,3.24,0.49491752538349,4.51237844064889,-44.0815948933808,-42.9146176652976,0,0,76.273,1.946,3.05092,3.892,20210614,NA,74.58,NA,87.5,NA,72.74,NA,NA,0.833846153846153,1.25,3.3,NA,"225.9","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","3.8 %","Low","16.6 %","Medium","-1.3 %","Medium","Fully open","Low","NO DATA",NA,"-76.47%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","100.00%","High",0,"Low",0,"Low",0.7,"Low","NO DATA",NA,"Low","Medium",3.25,0,0,0.163,0.119617224880383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.04,3,NA,"Greece","Greece",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"GRC",95,-1.68105349713061,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",1,0.693147180559945,2,1.09861228866811,0.513867700479682,0.594850604291082,0.792937776512103,0,41.3333333333333,41.3333333333333,42.8484848484849,0,-1.51515151515152,4.39344262295082,7.09066901408451,4.1785626384445,NA,NA,NA,NA,NA,NA,5.9,8.16666666666667,0,0,0,0.6,0.857142857142856,"3.8 %","Low","16.6 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,21.45,19.3,17.325,19.876,18.252,16.562,14.817,13.528,12.664,"2.551",-1.624,2.551,0,8.50333333333334,8.50333333333334,NA,NA,NA,NA,0,0.3
"82","Guyana","GUY",31.7,7.66,0.232148097649104,0.587505008907792,-11.4498541137241,-3.48077644404366,0,0,130.95,3.088,5.238,6.176,20210614,NA,66.46,NA,50,NA,68.81,NA,NA,2.08307692307692,5,3.7,NA,"208.4","High","80","Medium","Ban on high-risk regions","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","43.4 %","Low","NO DATA",NA,"0.7 %","Low","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low",0,"Low",0,"Low",3.6,"Medium","NO DATA",NA,"NO CRISIS","Low",4.25,0,0,0.353,4.66507177033493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guyana","Guyana",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"GUY",284,-0.552100403420243,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",0,0,0,0,-0.715968434560773,0.49625016930169,0.35529945686545,0,38,38,37.7575757575758,0,0.242424242424242,3.73770491803279,9.64348591549297,3.1448437115432,NA,NA,NA,NA,NA,NA,3.8,4.66666666666667,0,0,0,4.3,6.14285714285714,"43.4 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4
"83","Hungary","HUN",54,3.2,1,10,-64.5887189776171,-59.3421524877637,0,0,11.564,0.739,0.46256,1.478,20210614,NA,69.79,NA,62.5,NA,70.83,NA,NA,1.57076923076923,3.75,3.4,NA,"61.1","Medium","80","Medium","Total border closure","Low","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","4.3 %","Low","3.8 %","Low","3.3 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,7.5,"High",0,"Low",2.2,"Medium","NO DATA",NA,"NO CRISIS","Low",3.5,0,0,0.197,0.933014354066986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.08,5,NA,"Hungary","Hungary",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"HUN",4007,0.992320167941583,"Not Fragile",0,0,"Not Fragile",9.92320167941583,0,"Apr 2021",0,0,0,0,NA,0,0,0,35.6666666666667,39,41.1212121212121,-3.33333333333334,-5.45454545454546,3.27868852459016,1.36883802816901,3.82783657396013,NA,NA,NA,NA,NA,NA,3.6,4.33333333333333,0,0,0,1.1,1.57142857142857,"4.3 %","Low","3.8 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4.156,3.708,3.418,6.1,4.699,3.9,3.7,3.5,3.4,"2.682",-1.401,2.682,0,8.94,8.94,0,0,NA,NA,0,0.3
"84","Kazakhstan","KAZ",40.7,5.86,0.566494764004182,5.58149673421125,-22.739158858139,-45.2348819419304,0,0,50.26,0.137,2.0104,0.274000000000001,20210614,NA,49.48,NA,0,NA,56.55,NA,NA,4.69538461538462,10,3.1,NA,"120.0","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Recommend not leaving house","Medium","No income support","High","0","High","3.2 %","Low","5.5 %","Medium","6.4 %","High","Partially open","Medium","NO DATA",NA,"-57.14%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","No contact tracing","High","-100.00%","Low",0,"Low",0,"Low",3.7,"Medium","No hotspot","Low","NO CRISIS","Low",2.75,0,0,0.211,1.26794258373206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kazakhstan","Kazakhstan",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"KAZ",2757,1.71167967944843,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,0,0,-0.741504631403161,0.881618332298636,0.653724076529369,0,56.6666666666667,56.6666666666667,56.6666666666667,0,0,7.40983606557377,9.29137323943663,6.98437115431947,NA,NA,NA,NA,NA,NA,4,5,0,0,0,1,1.42857142857143,"3.2 %","Low","5.5 %","Medium","No income support","High",0,7,7,7.49077994519693,7.49077994519693,4.9940447670642,0.0084445446375323,-0.0018440109606134,-0.0011910465871595,0.0025333633912599,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4.9,4.854,4.779,7.779,5.779,4.779,4.779,4.779,4.779,"3",-2,3,0,10,10,0,0,NA,NA,0,0.4
"85","Malaysia","MYS",62.2,1.56,0.402574385486372,3.13308885011057,41.0444084735027,-6.2370646498367,2.73629389823351,0,179.611,2.339,7.18444,4.678,20210614,NA,80,NA,75,NA,80.71,NA,NA,0,2.5,3.2,NA,"294.8","High","80","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-5.6 %","High","3.8 %","Low","-1.1 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","100.00%","High",0,"Low",0.5,"Low",2.6,"Medium","NO DATA",NA,"Low","Medium",3,0,0,0.256,2.3444976076555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malaysia","Malaysia",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"MYS",1154,1.77301519619803,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",1,0.693147180559945,1,0.693147180559945,-0.403892453684988,0.645049366694719,0.953677752022223,0,17.3333333333333,19,22.2424242424242,-1.66666666666667,-4.90909090909091,0,2.16109154929577,0,NA,NA,NA,NA,NA,NA,4.9,6.5,0,0,0,1.8,2.57142857142857,"-5.6 %","High","3.8 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",10,0,0,7.49912892932354,7.49912892932354,4.99723894271761,0.000754493072204099,-0.0001742141352912,-0.0005522114564776,0.0002263479216615,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,3.425,3.325,3.275,4.9,3.4,3.3,3.3,3.3,3.3,"1.625",-1.5,1.625,0,5.41666666666667,5.41666666666667,0,0,NA,NA,0,0.4
